2026-01-13 11:31:15 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:17 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:19 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:22 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:24 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:26 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:28 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:30 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:33 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:35 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:37 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:39 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:42 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:44 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:46 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:48 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:51 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:53 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:55 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:57 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:31:59 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:32:01 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:32:04 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:32:06 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:32:08 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:32:10 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
2026-01-13 11:32:13 | INFO     | TradingBot | get_tradeable_markets:157 | Found 0 tradeable markets
